region,outages
Loyola,18
Lucas Valley-Marinwood,28
Lucerne,29
MI Wuk Village,6
Mad River,0
Madera,23
Madera Acres,0
Madison,0
Magalia,0
Malaga,0
Manchester,50
Manila,52
Manteca,38
Manton,0
Maricopa,0
Marin City,0
Marina,2
Mariposa,3
Marshall,1
Martell,1
Martinez,31
Marysville,36
Maxwell,1
Mayfair,0
Mc Farland,2
Mc Kittrick,1
McArthur,1
McFarland,0
McKinleyville,31
McSwain,0
Meadow Valley,0
Meadow Vista,53
Mendocino,0
Mendota,0
Menlo Park,15
Merced,34
Meridian,0
Mettler,0
Mi-Wuk Village,27
Middletown,36
Midpines,12
Mill Creek,0
Mill Valley,11
Millbrae,15
Millville,1
Milpitas,42
Mineral,0
Minkler,0
Miramonte,0
Miranda,0
Mission Hills,0
Modesto,0
Mokelumne Hill,0
Mono Vista,0
Monson,0
Montalvin Manor,0
Montara,0
Monte Rio,0
Monte Sereno,15
Monterey,15
Montgomery Creek,7
Monument Hills,0
Morada,38
Moraga,18
Morgan Hill,14
Morro Bay,0
Moskowite Corner,52
Moss Beach,9
Moss Landing,0
Mount Hamilton,0
Mount Hermon,0
Mountain Gate,0
Mountain Ranch,53
Mountain View,20
Mountain View-Martinez,0
Muir Beach,0
Murphys,0
Myers Flat,20
Myrtletown,44
Napa,18
Nevada City,57
New Cuyama,0
Newark,27
Newcastle,56
Newman,22
Nicasio,10
Nice,16
Nicolaus,37
Nipinnawasee,0
Nipomo,3
Nord,0
Norden,0
Norris Canyon,0
North Auburn,13
North Fair Oaks,0
North Fork,20
North Gate,0
North Lakeport,0
North Richmond,0
North San Juan,0
Novato,32
O Neals,0
Oak Run,1
Oak Shores,0
Oakdale,54
Oakhurst,2
Oakland,22
Oakley,35
Oakville,0
Occidental,28
Oceano,0
Oildale,5
Old Fig Garden,4
Old Station,0
Olivehurst,33
Orange Cove,16
Orcutt,11
Oregon House,0
Orick,0
Orinda,32
Orland,2
Orleans,0
Orosi,0
Oroville,34
Oroville East,18
Pacheco,0
Pacific Grove,4
Pacifica,15
Paicines,0
Pajaro,0
Pajaro Dunes,0
Palermo,0
Palo Alto,1
Palo Cedro,2
Paradise,7
Paradise Park,0
Parksdale,0
Parkwood,0
Parlier,0
Pasatiempo,11
Paskenta,0
Paso Robles,14
Patterson,0
Paynes Creek,0
Penn Valley,50
Penngrove,6
Penryn,9
Pescadero,0
Petaluma,31
Peters,0
Petrolia,0
Phillipsville,0
Philo,55
Phoenix Lake,38
Piedmont,0
Piercy,0
Pike,0
Pilot Hill,0
Pine Canyon,0
Pine Grove,1
Pine Hills,31
Pine Mountain Lake,1
Pinole,14
Pioneer,1
Pismo Beach,11
Pittsburg,30
Pixley,0
Placerville,33
Planada,0
Platina,0
Pleasant Grove,1
Pleasant Hill,14
Pleasanton,47
Pleasure Point,8
Plumas Lake,0
Plymouth,1
Point Arena,56
Point Reyes Station,0
Pollock Pines,19
Pope Valley,0
Port Costa,0
Portola Valley,0
Potter Valley,0
Prather,0
Princeton,0
Proberta,1
Prunedale,11
Quincy,0
Rackerby,20
Rail Road Flat,0
Raisin City,12
Rancho Calaveras,29
Rancho Tehama Reserve,5
Raymond,2
Red Bluff,2
Red Corral,0
Redcrest,0
Redding,4
Redway,1
Redwood City,11
Redwood Valley,59
Reedley,2
Reliez Valley,0
Rescue,0
Richfield,0
Richmond,32
Ridgemark,0
Rio Dell,22
Rio Oso,19
Rio Vista,32
Rio del Mar,0
Ripon,0
River Pines,0
Riverbank,0
Riverdale,10
Robbins,0
Robinson Mill,0
Rocklin,24
Rodeo,40
Rohnert Park,2
Rolling Hills,0
Rollingwood,0
Rosamond,0
Rosedale,0
Roseland,13
Roseville,1
Ross,0
Rough and Ready,59
Round Mountain,0
Rumsey,1
Ruth,0
Rutherford,0
Sacramento,0
Saint Helena,19
Salinas,7
Salmon Creek,0
Salyer,0
Samoa,0
San Andreas,0
San Anselmo,16
San Ardo,4
San Bruno,18
San Carlos,12
San Francisco,12
San Geronimo,0
San Gregorio,0
San Joaquin,0
San Jose,33
San Juan Bautista,0
San Leandro,31
San Lorenzo,0
San Lucas,0
San Luis Obispo,17
San Martin,14
San Mateo,17
San Miguel,0
San Miguel-Walnut Creek,0
San Pablo,40
San Quentin,0
San Rafael,29
San Ramon,13
San Simeon,2
Sand City,0
Sanger,11
Santa Barbara,0
Santa Cruz,17
Santa Margarita,3
Santa Maria,18
Santa Nella,0
Santa Rosa,34
Santa Venetia,14
Santa Ynez,19
Saranap,0
Saratoga,39
Sausalito,0
Scotia,0
Scotts Valley,39
Sea Ranch,0
Seacliff,2
Seaside,11
Sebastopol,40
Selma,26
Sereno del Mar,0
Seville,0
Shafter,4
Shandon,4
Shasta,0
Shasta Lake,0
Shaver Lake,0
Shell Ridge,0
Sheridan,0
Shingle Springs,20
Shingletown,4
Sierra City,1
Sierra Village,0
Silverado Resort,50
Sisquoc,0
Sleepy Hollow,10
Smartsville,1
Smith Corner,0
Snelling,31
Soda Bay,0
Soda Springs,0
Soledad,10
Solvang,1
Somerset,32
Somes Bar,0
Sonoma,14
Sonora,1
Soquel,5
Soulsbyville,0
South Dos Palos,0
South Lake Tahoe,0
South Oroville,18
South San Francisco,14
South Taft,3
Spreckels,0
Squaw Valley,19
Stanford,0
Stevinson,0
Stinson Beach,0
Stirling City,0
Stockton,51
Stonyford,0
Stratford,0
Strawberry,0
Strawberry Valley,0
Strawberry-Tuolumne,0
Suisun City,25
Sunnyside,3
Sunnyvale,46
Sunol,15
Sutter,0
Sutter Creek,19
Taft,3
Taft Heights,3
Taft Mosswood,0
Talmage,0
Tamalpais-Homestead Valley,12
Tara Hills,28
Tarpey Village,0
Taylorsville,1
Tehama,0
Templeton,15
Terminous,0
Thermalito,30
Thornton,0
Three Rocks,0
Tiburon,10
Timber Cove,0
Tobin,0
Tollhouse,22
Tomales,0
Tracy,48
Tranquillity,0
Traver,0
Travis AFB,0
Tres Pinos,0
Trinidad,0
Trinity Village,0
Trowbridge,1
Truckee,0
Tulare,0
Tuolumne,0
Tuolumne City,1
Tupman,0
Tuttle,0
Tuttletown,0
Twain,1
Twain Harte,43
Twin Bridges,1
Twin Lakes,2
Ukiah,1
Union City,40
University of California Merced,22
Upper Lake,0
Vacaville,8
Vallecito,38
Vallejo,28
Valley Ford,0
Valley Springs,45
Vandenberg Village,1
Vernalis,0
Victor,1
Vina,0
Vine Hill,0
Visalia,0
Volcano,0
Volta,0
Wallace,0
Walnut Creek,31
Walnut Grove,15
Wasco,14
Washington,0
Waterford,0
Waterloo,0
Watsonville,14
Waukena,0
Wawona,0
Weedpatch,0
Weott,0
West Menlo Park,0
West Park,0
West Point,16
West Sacramento,56
Westhaven-Moonstone,0
Westley,0
Westport,0
Westwood,0
Wheatland,0
Whitethorn,0
Whitley Gardens,0
Whitmore,2
Williams,20
Willits,17
Willow Creek,28
Willows,55
Wilseyville,0
Wilsonia,0
Windsor,15
Winters,36
Winton,0
Wishon,0
Witter Springs,0
Woodacre,0
Woodbridge,0
Woodlake,0
Woodland,53
Woodlands,0
Woodside,18
Yankee Hill,0
Yolo,0
Yorkville,0
Yosemite Lakes,0
Yountville,0
Yuba City,15
Zamora,1
Zayante,1
Zenia,39
